maze_id,bfs_length,dfs_length,astar_length,bfs_time,dfs_time,astar_time
0,29,31,29,0.00012350082397460938,0.00012373924255371094,0.00014162063598632812
1,21,23,21,9.822845458984375e-05,0.00010085105895996094,8.130073547363281e-05
2,21,35,21,0.00010156631469726562,0.00010633468627929688,0.0001513957977294922
3,21,21,21,8.702278137207031e-05,8.249282836914062e-05,0.00012540817260742188
4,29,37,29,0.00010848045349121094,9.942054748535156e-05,0.00016689300537109375
5,21,45,21,0.00010275840759277344,9.632110595703125e-05,6.67572021484375e-05
6,21,29,21,8.749961853027344e-05,0.00010776519775390625,7.128715515136719e-05
7,25,43,25,0.00010323524475097656,8.749961853027344e-05,9.846687316894531e-05
8,29,33,29,9.679794311523438e-05,0.00010013580322265625,0.00012946128845214844
9,21,49,21,9.512901306152344e-05,0.00010704994201660156,7.677078247070312e-05
